Magnitude,Place,Felt Reports,Date,Google Map link
1.54,"6km E of Ocotillo Wells, CA",,2020-03-19,"https://www.google.com/maps/place/33.140,-116.067"
1.76,"13km SW of Searles Valley, CA",,2020-03-19,"https://www.google.com/maps/place/35.671,-117.485"
1.16,"24km NNW of Searles Valley, CA",,2020-03-19,"https://www.google.com/maps/place/35.955,-117.524"
1.13,"23km NNW of Searles Valley, CA",,2020-03-19,"https://www.google.com/maps/place/35.955,-117.512"
0.99,"8km NW of The Geysers, CA",,2020-03-19,"https://www.google.com/maps/place/38.832,-122.818"
0.98,"8km NW of The Geysers, CA",,2020-03-19,"https://www.google.com/maps/place/38.833,-122.819"
1.4,"53km N of Nikiski, Alaska",,2020-03-19,"https://www.google.com/maps/place/61.172,-151.279"
1.6,"71km NNE of Sutton-Alpine, Alaska",,2020-03-19,"https://www.google.com/maps/place/62.381,-148.279"
0.66,"20km ESE of Little Lake, CA",,2020-03-19,"https://www.google.com/maps/place/35.900,-117.691"
2.28,"7km SSE of Guanica, Puerto Rico",,2020-03-19,"https://www.google.com/maps/place/17.913,-66.881"
1.5,"113km NNW of Talkeetna, Alaska",,2020-03-19,"https://www.google.com/maps/place/63.189,-151.292"
1.7,"45km WSW of Goldfield, Nevada",,2020-03-19,"https://www.google.com/maps/place/37.557,-117.718"
1.2,"45km SSE of Hawthorne, Nevada",,2020-03-19,"https://www.google.com/maps/place/38.152,-118.417"
1.93,"6km NE of Magna, Utah",2,2020-03-19,"https://www.google.com/maps/place/40.747,-112.042"
0.79,"11km SSW of Trona, CA",,2020-03-19,"https://www.google.com/maps/place/35.667,-117.407"
2.04,"9km W of Petrolia, CA",,2020-03-19,"https://www.google.com/maps/place/40.329,-124.395"
1.3,"113km NW of Talkeetna, Alaska",,2020-03-19,"https://www.google.com/maps/place/63.156,-151.403"
2.65,"5km S of Indios, Puerto Rico",,2020-03-19,"https://www.google.com/maps/place/17.948,-66.827"
1.7,"62km W of Talkeetna, Alaska",,2020-03-19,"https://www.google.com/maps/place/62.329,-151.307"
0.65,"20km WNW of Searles Valley, CA",,2020-03-19,"https://www.google.com/maps/place/35.822,-117.620"
1.7,"96km SE of Old Iliamna, Alaska",,2020-03-19,"https://www.google.com/maps/place/59.200,-153.600"
1.34,"5km NW of The Geysers, CA",,2020-03-19,"https://www.google.com/maps/place/38.812,-122.788"
1.68,"4km NE of Magna, Utah",0,2020-03-19,"https://www.google.com/maps/place/40.733,-112.067"
4.5,"3km N of Petarukan, Indonesia",,2020-03-18,"https://www.google.com/maps/place/-6.850,109.430"
1.5,"46km SSE of Hawthorne, Nevada",,2020-03-18,"https://www.google.com/maps/place/38.147,-118.385"
1,"4km WNW of Woodland, Washington",,2020-03-18,"https://www.google.com/maps/place/45.926,-122.795"
1.4,"20km SE of Cohoe, Alaska",,2020-03-18,"https://www.google.com/maps/place/60.239,-151.037"
1.98,"7km NNW of West Valley City, Utah",9,2020-03-18,"https://www.google.com/maps/place/40.756,-112.042"
1.4,"21km NNE of Badger, Alaska",,2020-03-18,"https://www.google.com/maps/place/64.979,-147.389"
0.7,"18km ESE of Silver Springs, Nevada",,2020-03-18,"https://www.google.com/maps/place/39.350,-119.028"
1.62,"4km NNW of Boron, CA",,2020-03-18,"https://www.google.com/maps/place/35.029,-117.672"
1.86,"9km S of Indios, Puerto Rico",,2020-03-18,"https://www.google.com/maps/place/17.905,-66.805"
0.86,"20km E of Little Lake, CA",,2020-03-18,"https://www.google.com/maps/place/35.937,-117.689"
2.26,"24km WNW of Petrolia, CA",,2020-03-18,"https://www.google.com/maps/place/40.385,-124.559"
2.25,"7km N of Magna, Utah",8,2020-03-18,"https://www.google.com/maps/place/40.775,-112.091"
2.45,"13km SSW of Guanica, Puerto Rico",,2020-03-18,"https://www.google.com/maps/place/17.873,-66.975"
4.4,"34km ESE of Saray, Turkey",,2020-03-18,"https://www.google.com/maps/place/38.544,44.549"
2.44,"6km SSE of Guanica, Puerto Rico",,2020-03-18,"https://www.google.com/maps/place/17.916,-66.877"
0.67,"12km WSW of Searles Valley, CA",,2020-03-18,"https://www.google.com/maps/place/35.737,-117.538"
2.13,"5km NNE of Magna, Utah",1,2020-03-18,"https://www.google.com/maps/place/40.753,-112.084"
